outdoor_air_temperature;air_temperature;relative_humidity;season;country;building_type;air_speed;metabolic_rate;climate;cooling_type
10.4;22.0;61.6;summer;uk;classroom;0.1;1.2;warm-summerÂ humid continental;naturally ventilated
27.388888888888893;30.4;68.22593156349907;hot/wet;singapore;office;0.22;1.179607508532423;wet equatorial;naturally ventilated
27.4;29.7;56.0;summer;pakistan;office;0.0529;0.8873720136518772;semi arid midlatitude;naturally ventilated
25.0;24.4;48.5;summer;philippines;office;0.32;1.7;tropical wet savanna;air conditioned
15.75;21.4;39.98663437246617;summer;australia;office;0.18;1.1092150170648465;temperature marine;naturally ventilated
6.666666666666666;24.13;24.260876292864243;winter;usa;office;0.0666666666666666;1.2;mediterranean;air conditioned
15.0;23.75;51.73013496643346;summer;usa;office;0.0766666666666666;1.0;mediterranean;air conditioned
23.6;26.9;10.4;summer;pakistan;office;0.2350306177812096;1.877133105802048;desert (hot arid);naturally ventilated
28.95;32.2;53.0;summer;tunisia;multifamily housing;0.15;1.0;cold semi-arid;naturally ventilated
31.25;26.0;34.0;hot/wet;india;office;0.05;1.0;hot semi-arid;mixed mode
11.35;21.83666666666668;39.150000000000006;winter;australia;office;0.1403333333333333;1.3959999999999997;hot arid;air conditioned
27.24591;24.8;23.6;winter;australia;office;0.08;1.0;humid subtropical;mixed mode
16.93533;20.7;34.0;winter;australia;office;0.12;1.6;humid subtropical;mixed mode
8.3;21.6;50.3;winter;uk;classroom;0.07;1.2;warm-summerÂ humid continental;naturally ventilated
3.75;22.1;29.3;winter;canada;office;0.0899999999999999;1.6;continental subarctic;air conditioned
24.7;25.2;14.2;summer;pakistan;office;0.0169;1.006825938566553;desert (hot arid);naturally ventilated
0.2777777777777779;22.956666666666667;35.64099531477988;winter;usa;office;0.098;1.2;humid midlatitude;air conditioned
36.95;27.0;31.7;summer;india;office;0.06;1.1;subtropical highland;naturally ventilated
11.88888888888889;21.239999999999995;50.14007;winter;usa;office;0.062;1.0;mediterranean;air conditioned
21.1;25.5;50.3;summer;portugal;others;0.08;1.4;warm-summer mediterranean;mixed mode
19.7;25.5;52.0;summer;portugal;others;0.07;1.4;warm-summer mediterranean;mixed mode
20.7;24.7;42.3;summer;uk;others;0.1;1.3;temperate oceanic;mixed mode
28.8;21.8;80.8;summer;india;office;0.0;1.1;subtropical highland;mixed mode
19.2;23.0;42.5;summer;portugal;others;0.08;1.2;hot-summer mediterranean;naturally ventilated
25.44;24.4;27.3;winter;germany;office;0.05;1.2;temperate oceanic;mixed mode
29.2;32.0;66.7;hot/wet;thailand;office;0.2800000000000001;1.1;tropical savanna;naturally ventilated
6.449999999999999;27.9;51.3;summer;china;others;0.49;1.2;humid subtropical;mixed mode
26.75;25.9;36.0;cool/dry;india;office;0.01;1.0;tropical wet savanna;mixed mode
29.22;30.0;61.8;hot/wet;india;multifamily housing;0.92;1.9;tropical wet savanna;naturally ventilated
19.9;24.4;47.83324314137823;summer;australia;office;0.07;1.18259385665529;temperature marine;air conditioned
7.9;19.5;74.6;winter;china;classroom;0.0;1.2;humid subtropical;mixed mode
28.3;30.6;71.1;summer;india;multifamily housing;1.0;1.0;hot semi-arid;mixed mode
34.35;33.7;50.0;hot/wet;india;office;0.52;1.0;tropical wet savanna;naturally ventilated
30.3;23.2;66.7;hot/wet;thailand;office;0.11;1.1;tropical savanna;air conditioned
26.4;24.6;42.9;summer;china;classroom;0.16;1.1;monsoon-influenced hot-summer humid continental;air conditioned
24.54;28.8;78.6;hot/wet;india;multifamily housing;0.29;0.9;tropical wet savanna;naturally ventilated
28.1;26.4;42.0;cool/dry;india;office;0.16;1.0;tropical wet savanna;mixed mode
9.2;22.663333333333327;42.620000000000005;winter;australia;office;0.111;1.0309999999999997;hot arid;air conditioned
18.52;24.6;40.4;summer;france;classroom;0.0;1.2;temperate oceanic;naturally ventilated
24.0;27.1;44.1;summer;germany;office;0.2;1.2;temperate oceanic;naturally ventilated
26.1;25.0;24.1;summer;pakistan;office;0.036812473928082;1.006825938566553;desert (hot arid);naturally ventilated
15.4;20.0;69.6;summer;uk;classroom;0.09;1.2;warm-summerÂ humid continental;naturally ventilated
28.95;22.7;25.1;winter;india;multifamily housing;0.56;1.0;hot semi-arid;naturally ventilated
10.4;19.8;56.0;summer;uk;classroom;0.1;1.2;warm-summerÂ humid continental;naturally ventilated
14.9;21.493333333333325;42.16;winter;australia;office;0.0739999999999999;1.516;hot arid;air conditioned
32.0;26.5;45.0;hot/wet;india;office;0.04;1.0;tropical wet savanna;air conditioned
10.56;19.9;59.2;winter;uk;classroom;0.09;1.2;warm-summerÂ humid continental;naturally ventilated
19.85;29.6;81.8;summer;china;others;0.94;1.6;humid subtropical;mixed mode
15.25;14.6;53.2;winter;pakistan;office;0.154;1.877133105802048;semi arid midlatitude;naturally ventilated
18.05555555555556;22.27;64.66908795043474;summer;usa;office;0.1466666666666667;1.0;mediterranean;air conditioned
30.9;25.2;60.1;cool/dry;thailand;office;0.16;1.1;tropical savanna;air conditioned
21.54;28.3;45.7;summer;germany;office;1.22;1.2;temperate oceanic;naturally ventilated
20.4;23.3;34.400000000000006;winter;pakistan;office;0.0100099959257009;0.8873720136518772;desert (hot arid);naturally ventilated
21.46;20.0;50.6;winter;india;multifamily housing;0.22;1.0;hot semi-arid;naturally ventilated
15.550000000000002;22.3;38.12475525248928;summer;australia;office;0.08;1.0887372013651877;temperature marine;naturally ventilated
4.027990341186523;22.8;23.6;winter;sweden;others;0.03;1.2;temperate oceanic;air conditioned
14.171;24.0;38.0;winter;australia;office;0.04;1.2158703071672352;humid subtropical;mixed mode
13.2;22.8;60.2;winter;portugal;others;0.09;1.6;warm-summer mediterranean;mixed mode
28.01;31.9;86.6;winter;india;multifamily housing;0.23;1.3;hot semi-arid;mixed mode
30.3;26.0;50.6;summer;china;classroom;0.1;1.1;monsoon-influenced hot-summer humid continental;air conditioned
26.2;24.8;40.465687376123306;summer;australia;office;0.04;1.2167235494880546;temperature marine;air conditioned
25.7;29.1;47.30000000000001;summer;pakistan;office;0.0025;1.877133105802048;semi arid high altitude;naturally ventilated
15.4;21.6;71.6;summer;uk;classroom;0.05;1.2;warm-summerÂ humid continental;naturally ventilated
8.4;20.9;43.6;winter;uk;others;0.17;1.2;temperate oceanic;air conditioned
31.666666666666664;24.0;44.1;summer;usa;office;0.23;1.1;humid subtropical;air conditioned
32.46;31.6;72.9;summer;india;multifamily housing;1.0;0.7;tropical wet savanna;naturally ventilated
32.0;29.7;58.0;hot/wet;india;office;0.14;1.0;hot semi-arid;naturally ventilated
14.45;23.95333333333332;50.620000000000005;winter;australia;office;0.158;1.387;hot arid;air conditioned
18.0;24.5;51.0;cool/dry;india;office;0.01;1.0;hot semi-arid;mixed mode
20.68;18.5;25.8;winter;india;multifamily housing;0.38;1.0;hot semi-arid;naturally ventilated
18.75;25.2;43.0;cool/dry;india;office;0.02;1.0;hot semi-arid;mixed mode
18.75;25.5;41.0;cool/dry;india;office;0.02;1.0;hot semi-arid;mixed mode
12.8;23.3;47.4;winter;uk;others;0.05;1.2;temperate oceanic;naturally ventilated
29.75;25.3;42.0;hot/wet;india;office;0.08;1.0;hot semi-arid;mixed mode
31.0;28.7;67.3;summer;pakistan;office;0.3480999999999999;1.877133105802048;semi arid high altitude;naturally ventilated
27.4;27.0;63.1;summer;pakistan;office;0.2697484497680222;0.7679180887372011;semi arid midlatitude;naturally ventilated
22.22222222222221;22.88;63.70356525646201;summer;usa;office;0.05;1.0;mediterranean;air conditioned
14.05;24.1;26.0;winter;china;classroom;0.3;1.1;monsoon-influenced hot-summer humid continental;naturally ventilated
-15.4;18.9;57.9;winter;china;others;0.14;1.2;humid subtropical;mixed mode
12.0;21.1;63.8;summer;china;classroom;0.24;1.0;monsoon-influenced hot-summer humid continental;air conditioned
24.35;26.8;47.3;winter;india;office;0.11;1.1;tropical wet savanna;naturally ventilated
32.03;24.9;33.6;winter;india;others;0.32;1.2;hot semi-arid;air conditioned
16.85;21.73;64.0;winter;australia;office;0.0553333333333333;1.345;hot arid;air conditioned
10.1;30.8;48.1;winter;china;others;0.1;1.2;humid subtropical;mixed mode
24.65;29.2;57.3609242308015;summer;australia;office;0.22;1.2201365187713311;humid subtropical;naturally ventilated
29.55;30.0;79.4;summer;india;office;0.12;1.2;monsoon-influenced humid subtropical;mixed mode
14.444444444444445;23.4;36.33432618671627;winter;usa;office;0.0633333333333333;1.2;mediterranean;air conditioned
16.950000000000003;21.4;28.5;winter;china;classroom;0.08;1.1;monsoon-influenced hot-summer humid continental;naturally ventilated
27.45;25.0;73.1;summer;australia;office;0.08;1.0;humid subtropical;mixed mode
15.4;26.6;30.3;winter;germany;office;0.15;1.2;temperate oceanic;mixed mode
12.5;17.3;33.400000000000006;winter;pakistan;office;0.6067274776674514;0.8873720136518772;semi arid midlatitude;naturally ventilated
19.03;21.2;58.7;summer;germany;office;0.21;1.2;temperate oceanic;naturally ventilated
28.3;34.7;35.6;summer;pakistan;office;0.0899999999999999;0.7679180887372011;semi arid high altitude;naturally ventilated
-1.028728485107422;21.2;25.9;winter;sweden;classroom;0.0;2.0;temperate oceanic;mixed mode
23.700000000000003;20.1;42.4;summer;china;classroom;0.41;1.1;monsoon-influenced hot-summer humid continental;air conditioned
30.37;26.6;35.4;summer;germany;office;0.2;1.2;temperate oceanic;naturally ventilated
28.75;28.7;79.1;hot/wet;india;multifamily housing;1.25;1.0;tropical wet savanna;naturally ventilated
12.97;22.1;51.0;summer;germany;office;0.11;1.2;temperate oceanic;naturally ventilated
26.55;25.2;38.10581679414731;cool/dry;australia;office;0.04;1.0921501706484644;tropical savanna;air conditioned
32.9;32.5;51.9;summer;india;multifamily housing;0.8;1.0;hot semi-arid;mixed mode
10.87;20.3;56.9;winter;uk;classroom;0.05;1.2;warm-summerÂ humid continental;naturally ventilated
2.0123581886291504;24.1;19.0;winter;sweden;others;0.0;1.4;temperate oceanic;air conditioned
4.341217994689941;21.9;30.3;winter;sweden;others;0.0;1.2;temperate oceanic;air conditioned
26.05;27.5;63.0;cool/dry;india;office;0.1;1.0;tropical wet savanna;mixed mode
12.0;21.0;65.0;summer;china;classroom;0.11;1.0;monsoon-influenced hot-summer humid continental;air conditioned
-1.3;27.7;41.3;winter;china;classroom;0.09;1.0;monsoon-influenced hot-summer humid continental;air conditioned
23.15;21.6;68.9;summer;pakistan;office;0.04;1.877133105802048;semi arid high altitude;naturally ventilated
14.61;23.9;36.0;summer;australia;office;0.05;1.2436006825938564;humid subtropical;mixed mode
28.0;22.2;60.117212380510914;hot/wet;australia;office;0.16;1.174061433447099;tropical savanna;air conditioned
29.17;29.5;88.0;summer;india;multifamily housing;1.33;1.05;tropical wet savanna;naturally ventilated
24.25345238;26.0;57.3;summer;australia;senior center;0.14;1.5;humid subtropical;mixed mode
20.92761905;22.4;53.4;summer;australia;senior center;0.14;1.9;temperate oceanic;mixed mode
27.388888888888893;30.2;97.82742764736722;hot/wet;singapore;office;0.21;1.484641638225256;wet equatorial;naturally ventilated
29.92;31.9;83.1;winter;india;multifamily housing;0.28;1.15;hot semi-arid;naturally ventilated
31.55;28.9;59.2;summer;pakistan;office;0.0625;1.006825938566553;semi arid midlatitude;naturally ventilated
26.1;30.8;12.2;summer;pakistan;office;0.2254038933522172;1.006825938566553;desert (hot arid);naturally ventilated
14.52;21.3;60.3;summer;uk;classroom;0.05;1.2;warm-summerÂ humid continental;naturally ventilated
21.15;23.8;46.7;summer;germany;office;0.05;1.2;temperate oceanic;mixed mode
20.92761905;20.5;56.0;summer;australia;senior center;0.09;1.5;temperate oceanic;mixed mode
32.29;26.5;34.6;winter;india;others;0.27;1.2;hot semi-arid;air conditioned
7.7;20.8;9.6;winter;pakistan;office;0.6605516973634492;1.006825938566553;desert (hot arid);naturally ventilated
14.4;25.7;46.2;winter;uk;others;0.33;1.9;temperate oceanic;naturally ventilated
24.45;25.0;61.4;summer;germany;office;1.41;1.2;temperate oceanic;naturally ventilated
18.6;26.4;33.69871279636691;summer;australia;office;0.1;1.331058020477816;temperature marine;air conditioned
19.5;26.0;42.9;summer;greece;others;0.1;1.2;hot-summer mediterranean;mixed mode
24.26;25.8;51.6;cool/dry;india;multifamily housing;0.17;0.9;tropical wet savanna;naturally ventilated
16.5;25.8;33.6;summer;canada;office;0.05;1.1;continental subarctic;air conditioned
24.54;27.7;78.3;hot/wet;india;multifamily housing;0.06;1.9;tropical wet savanna;naturally ventilated
12.960000000000004;22.6;41.0;winter;australia;office;0.15;0.9812286689419796;humid subtropical;air conditioned
22.7;25.2;38.7;winter;australia;office;0.06;1.3;humid subtropical;mixed mode
10.5;22.8;49.0;summer;uk;classroom;0.07;1.2;warm-summerÂ humid continental;naturally ventilated
16.15;25.3;54.0;cool/dry;india;office;0.01;1.0;hot semi-arid;air conditioned
26.6;24.9;19.3;winter;india;multifamily housing;0.2;1.0;hot semi-arid;naturally ventilated
11.5;22.69666666666668;42.55;winter;australia;office;0.1173333333333333;1.4179999999999997;hot arid;air conditioned
19.8;23.5;58.5;summer;portugal;others;0.04;1.3;warm-summer mediterranean;mixed mode
24.54;27.7;79.3;hot/wet;india;multifamily housing;1.23;1.2;tropical wet savanna;naturally ventilated
26.6;26.1;36.0;cool/dry;india;office;0.05;1.0;tropical wet savanna;mixed mode
17.60418155;21.4;33.1;autumn;australia;senior center;0.06;0.8;humid subtropical;mixed mode
7.222222222222222;19.55;30.45204743688561;winter;usa;office;0.01;1.2;mediterranean;air conditioned
18.22;21.3;55.8;summer;germany;office;0.05;1.2;temperate oceanic;mixed mode
18.2;23.506666666666664;35.77;summer;australia;office;0.1996666666666666;1.718213058419244;hot arid;air conditioned
36.95;27.8;30.7;summer;india;office;0.08;1.4;subtropical highland;naturally ventilated
-14.35;24.7;32.9;winter;china;classroom;0.09;1.2;humid subtropical;mixed mode
10.87;20.4;66.5;winter;uk;classroom;0.07;1.2;warm-summerÂ humid continental;naturally ventilated
28.35;23.8;57.9;summer;china;classroom;0.21;1.1;monsoon-influenced hot-summer humid continental;air conditioned
27.388888888888893;27.5;78.2852990063503;hot/wet;singapore;office;0.16;1.2521331058020475;wet equatorial;naturally ventilated
25.09;23.0;65.5;summer;australia;office;0.11;1.3;humid subtropical;mixed mode
17.0;22.6;59.0;summer;uk;office;0.032761;1.2;west coast marine;naturally ventilated
8.700000000000001;18.3;29.4;winter;pakistan;office;0.0739289012348229;0.8873720136518772;desert (hot arid);naturally ventilated
15.97;19.4;62.1;winter;india;multifamily housing;0.01;1.8;monsoon-influenced humid subtropical;mixed mode
36.35;27.8;44.0;summer;india;office;0.06;1.3;subtropical highland;naturally ventilated
23.83333333333333;31.15;36.05;summer;greece;office;0.638039211932993;1.2;mediterranean;naturally ventilated
31.8;27.0;52.0;hot/wet;india;office;0.23;1.0;tropical wet savanna;mixed mode
29.25;30.1;63.0;hot/wet;india;office;0.06;1.0;hot semi-arid;naturally ventilated
17.0;28.8;40.0;cool/dry;india;office;0.01;1.0;hot semi-arid;mixed mode
10.9;22.2;48.9;winter;portugal;others;0.09;1.5;warm-summer mediterranean;mixed mode
24.75;23.2;49.60397086833538;cool/dry;australia;office;0.14;1.0921501706484644;tropical savanna;air conditioned
35.0;23.1;45.5;summer;philippines;office;0.11;1.1;tropical wet savanna;air conditioned
1.5;25.0;45.5;winter;uk;others;0.08;1.2;temperate oceanic;mixed mode
26.3;24.5;54.8;winter;india;multifamily housing;0.1;1.0;hot semi-arid;mixed mode
15.25197;19.6;40.7;winter;australia;office;0.08;1.2;humid subtropical;mixed mode
31.0;28.3;65.0;hot/wet;india;office;0.05;1.0;hot semi-arid;naturally ventilated
30.4;25.1;50.0;hot/wet;india;office;0.15;1.0;tropical wet savanna;mixed mode
29.65;22.6;56.31552189051831;hot/wet;australia;office;0.13;1.2030716723549484;tropical savanna;air conditioned
31.35;28.3;49.0;cool/dry;india;office;0.11;1.0;tropical wet savanna;mixed mode
27.65;23.6;43.5;summer;india;office;0.14;1.9;tropical wet savanna;air conditioned
11.6435;23.3;42.0;winter;australia;office;0.03;1.0303754266211609;humid subtropical;mixed mode
24.7;25.2;51.9;winter;india;office;0.15;1.8;tropical wet savanna;air conditioned
7.7;23.4;23.4;winter;france;office;0.03;1.0;temperate oceanic;naturally ventilated
26.2;27.1;35.736197367803;summer;australia;office;0.62;1.1911262798634812;temperature marine;naturally ventilated
29.5;20.8;62.0;hot/wet;thailand;office;0.1;1.1;tropical savanna;air conditioned
18.1;23.9;63.1;summer;uk;classroom;0.11;1.2;warm-summerÂ humid continental;naturally ventilated
28.38;29.6;77.9;cool/dry;india;multifamily housing;2.09;1.0;tropical wet savanna;naturally ventilated
15.2;27.0;48.8;summer;china;classroom;0.22;1.2;humid subtropical;naturally ventilated
14.166666666666668;22.77;27.53923647573447;winter;usa;office;0.0566666666666666;1.0;mediterranean;air conditioned
8.700000000000001;24.9;12.7;winter;pakistan;office;0.0512685622709734;1.006825938566553;desert (hot arid);naturally ventilated
32.0;32.30000000000001;74.6;summer;pakistan;office;0.1848999999999999;0.8873720136518772;desert (hot arid);naturally ventilated
4.9;24.0;62.6;winter;china;others;0.25;1.2;humid subtropical;naturally ventilated
15.72;26.0;57.3;summer;uk;classroom;0.07;1.2;warm-summerÂ humid continental;naturally ventilated
21.98;20.2;39.4;winter;india;multifamily housing;0.27;1.0;hot semi-arid;naturally ventilated
10.4;19.7;56.2;summer;uk;classroom;0.09;1.2;warm-summerÂ humid continental;naturally ventilated
26.95;22.13;67.0;hot/wet;australia;office;0.15;1.1421501706484645;tropical savanna;air conditioned
10.555555555555555;23.23;39.7059979544402;winter;usa;office;0.02;1.2;mediterranean;air conditioned
23.12;25.7;49.2;cool/dry;india;multifamily housing;0.0;2.0;tropical wet savanna;naturally ventilated
23.7;22.9;62.17644739166329;summer;australia;office;0.1;1.2030716723549484;humid subtropical;air conditioned
12.865000000000002;19.4;53.7;summer;uk;office;0.018225;1.2;west coast marine;naturally ventilated
13.0;17.8;59.7;winter;pakistan;office;0.0049332279705544;1.1262798634812288;semi arid midlatitude;naturally ventilated
17.8;30.6;49.1;summer;china;others;0.5;1.2;humid subtropical;mixed mode
26.35;27.3;70.6;cool/dry;india;office;0.38;1.2;tropical wet savanna;naturally ventilated
13.52;20.8;54.5;summer;uk;classroom;0.06;1.2;warm-summerÂ humid continental;naturally ventilated
19.8;20.9;62.8;summer;australia;office;0.1;1.3;humid subtropical;mixed mode
24.7;32.2;10.300000000000002;summer;pakistan;office;0.8460285736041475;0.8873720136518772;desert (hot arid);naturally ventilated
13.5;15.7;62.7;winter;pakistan;office;0.0113441989657537;1.006825938566553;semi arid midlatitude;naturally ventilated
10.833333333333334;22.5;46.24953759511253;winter;usa;office;0.04;1.3999999999999997;mediterranean;air conditioned
10.0;21.65;49.0;winter;uk;office;0.05;1.194539249146758;west coast marine;naturally ventilated
39.4;36.0;23.2;summer;india;multifamily housing;0.5;1.0;hot semi-arid;naturally ventilated
-5.35;24.2;66.1;winter;china;classroom;0.22;1.2;humid subtropical;mixed mode
13.52;20.4;51.1;summer;uk;classroom;0.04;1.2;warm-summerÂ humid continental;naturally ventilated
28.1;30.3;70.0;cool/dry;malaysia;multifamily housing;0.2;1.0;tropical rainforest;naturally ventilated
-4.35;23.0;22.4;winter;china;classroom;0.23;1.1;monsoon-influenced hot-summer humid continental;air conditioned
30.55;32.1;19.7;summer;pakistan;office;0.0064;0.8873720136518772;semi arid high altitude;naturally ventilated
25.0;24.9;40.01299717426076;cool/dry;australia;office;0.05;1.0580204778156996;tropical savanna;air conditioned
32.25;25.6;64.0;hot/wet;india;office;0.08;1.0;tropical wet savanna;mixed mode
30.08333333333332;30.1;72.3;summer;pakistan;office;0.5041;0.8873720136518772;desert (hot arid);naturally ventilated
30.42;32.1;87.3;summer;india;multifamily housing;1.34;1.05;hot semi-arid;naturally ventilated
8.4;21.9;53.2;winter;uk;classroom;0.09;1.2;warm-summerÂ humid continental;naturally ventilated
17.77777777777778;22.07;56.217996205803445;summer;usa;office;0.1633333333333333;1.0;mediterranean;naturally ventilated
18.0;25.1;53.0;cool/dry;india;office;0.01;1.0;hot semi-arid;mixed mode
30.3;22.2;70.1;hot/wet;thailand;office;0.12;1.1;tropical savanna;air conditioned
10.4;22.0;61.6;summer;uk;classroom;0.1;1.2;warm-summerÂ humid continental;naturally ventilated
27.58;27.8;29.2;winter;india;multifamily housing;0.54;1.0;hot semi-arid;naturally ventilated
30.9;25.9;57.5;hot/wet;thailand;office;0.13;1.1;tropical savanna;air conditioned
13.52;21.8;52.5;summer;uk;classroom;0.05;1.2;warm-summerÂ humid continental;naturally ventilated
25.1;29.9;58.49463103517929;summer;australia;office;0.42;1.2764505119453926;humid subtropical;naturally ventilated
-4.35;27.6;59.7;winter;china;others;0.36;1.2;humid subtropical;mixed mode
24.7;28.1;46.0;winter;india;office;0.23;1.1;tropical wet savanna;air conditioned
16.4;25.3;38.24322906422776;summer;australia;office;0.05;1.6638225255972698;temperature marine;air conditioned
26.26;24.3;63.4;summer;australia;office;0.08;1.1;humid subtropical;mixed mode
35.25;25.6;45.1;summer;india;office;0.02;1.6;subtropical highland;naturally ventilated
30.7;28.9;19.8;summer;india;multifamily housing;0.35;1.2;hot semi-arid;naturally ventilated
30.05;25.3;50.0;cool/dry;india;office;0.04;1.0;tropical wet savanna;mixed mode
27.89;26.6;88.2;cool/dry;india;multifamily housing;1.42;1.0;tropical wet savanna;mixed mode
29.48;31.7;70.4;hot/wet;india;multifamily housing;1.06;1.0;tropical wet savanna;mixed mode
9.7;25.5;37.4;winter;uk;others;0.3;1.2;temperate oceanic;naturally ventilated
35.63;32.1;25.6;summer;india;multifamily housing;0.83;1.0;hot semi-arid;naturally ventilated
16.4;22.4;35.0;winter;china;classroom;0.06;1.1;monsoon-influenced hot-summer humid continental;naturally ventilated
18.0;24.5;51.0;cool/dry;india;office;0.01;1.0;hot semi-arid;mixed mode
29.3;32.0;66.4;hot/wet;thailand;office;0.12;1.1;tropical savanna;naturally ventilated
32.25;25.3;61.0;hot/wet;india;office;0.02;1.0;hot semi-arid;mixed mode
24.27;25.8;47.2;summer;germany;office;0.05;1.2;temperate oceanic;mixed mode
13.3;23.1;46.5;summer;uk;classroom;0.09;1.2;warm-summerÂ humid continental;naturally ventilated
12.5;20.2;42.5;winter;portugal;others;0.05;1.3;warm-summer mediterranean;mixed mode
30.55;30.9;50.80000000000001;summer;pakistan;office;0.0064;0.8873720136518772;semi arid high altitude;naturally ventilated
10.833333333333334;22.8;45.1264634538768;winter;usa;office;0.0566666666666666;1.0;mediterranean;air conditioned
23.53;24.6;57.7;summer;australia;office;0.04;1.2;humid subtropical;mixed mode
26.2;20.5;63.6;summer;pakistan;office;0.2350306177812103;1.877133105802048;desert (hot arid);naturally ventilated
19.75;22.969999999999995;57.0;cool/dry;australia;office;0.1;1.4897610921501698;tropical savanna;air conditioned
11.944444444444446;23.53;30.2106720277024;winter;usa;office;0.0633333333333333;1.0;mediterranean;air conditioned
1.5499999999999998;27.5;49.6;summer;china;classroom;0.51;1.2;humid subtropical;mixed mode
26.4;23.5;42.34466827219251;cool/dry;australia;office;0.12;1.1604095563139931;tropical savanna;air conditioned
27.2;26.9;49.0;cool/dry;india;office;0.02;1.0;tropical wet savanna;mixed mode
9.4;24.4;40.9;winter;uk;others;1.24;1.1;temperate oceanic;naturally ventilated
12.1;20.423333333333325;43.21;winter;australia;office;0.108;1.237;hot arid;air conditioned
25.75;27.7;79.4;hot/wet;india;multifamily housing;0.32;1.25;tropical wet savanna;naturally ventilated
22.18;21.6;35.0;winter;india;multifamily housing;0.24;1.0;hot semi-arid;naturally ventilated
11.5;16.2;48.80000000000001;winter;pakistan;office;0.3938501764978988;1.006825938566553;semi arid high altitude;naturally ventilated
25.1;23.8;59.53802510706513;summer;australia;office;0.12;1.1860068259385668;humid subtropical;air conditioned
27.25;23.71;60.0;hot/wet;australia;office;0.1;1.7877133105802048;tropical savanna;air conditioned
6.2;22.7;44.6;winter;france;others;0.0;1.6;temperate oceanic;mixed mode
